ID,X,Y,Z,ROTATIONS,COPIES
0,70,63,50,63,1
1,100,53,34,51,3
2,93,78,45,51,5
3,100,55,48,51,2
4,98,73,50,63,2
5,69,45,43,63,1
6,43,42,36,63,3
7,104,92,63,63,1
8,93,36,26,51,1
9,50,45,41,63,1
10,119,67,50,51,1
11,82,49,30,51,2
12,80,55,31,51,1
13,105,73,37,51,3
14,76,76,42,63,1
15,102,96,22,3,1
16,120,99,36,3,3
17,89,70,58,63,2
18,60,54,46,63,2
19,120,38,35,51,2
20,94,68,59,63,2
21,98,30,27,51,2
22,95,49,31,51,1
23,118,72,32,3,2
24,102,56,25,3,1
25,99,62,30,3,1
26,78,71,32,3,3
27,79,73,71,63,2
28,74,73,68,63,1
29,102,74,20,3,1
30,89,70,43,51,2
31,100,78,27,3,3
32,86,53,31,51,1
33,95,84,61,63,2
34,104,62,23,3,2
35,101,71,51,63,3
36,120,69,61,63,2
37,86,48,29,51,1
38,120,99,72,63,1
39,70,53,36,63,4
40,76,49,37,51,1
41,77,77,63,63,3
42,107,38,27,51,4
43,59,56,41,63,1
44,119,81,25,3,3
45,84,59,45,63,2
46,81,38,28,51,2
47,75,63,36,51,2
48,82,66,59,63,1
49,76,65,42,63,4
50,48,40,36,63,3
51,103,59,34,51,2
52,79,76,24,3,2
53,76,60,40,63,1
54,50,45,32,63,2
55,98,58,22,3,2
56,116,34,21,51,4
57,72,58,23,3,1
58,80,69,38,51,3
59,119,49,37,51,1
60,64,58,33,63,1
61,104,90,24,3,1
62,60,43,34,63,1
63,119,98,26,3,3
64,100,42,41,51,2
65,93,42,36,51,1
66,109,95,35,3,2
67,61,43,38,63,2
68,96,62,20,3,3
69,68,40,38,63,1
