ID,X,Y,Z,ROTATIONS,COPIES
0,86,58,36,51,2
1,71,69,22,3,2
2,108,78,54,51,2
3,104,58,57,63,2
4,96,65,58,63,4
5,58,37,26,51,4
6,73,72,49,63,3
7,98,67,56,63,2
8,117,89,23,3,2
9,109,76,73,63,2
10,95,61,34,51,1
11,106,73,49,51,2
12,66,39,35,63,1
13,82,76,43,63,3
14,93,87,26,3,2
15,68,64,63,63,4
16,70,53,30,51,2
17,68,65,30,3,1
18,94,57,26,3,4
19,104,79,38,3,1
20,47,47,46,63,2
21,111,52,20,3,2
22,85,70,23,3,2
23,89,58,33,51,6
24,92,74,66,63,2
25,75,65,50,63,2
26,111,99,64,63,3
27,99,65,62,63,3
28,94,53,25,3,3
29,81,64,43,63,3
30,98,71,38,51,2
31,82,70,48,63,2
32,95,45,45,51,2
33,45,43,40,63,1
34,73,49,38,63,1
35,99,77,26,3,4
36,85,72,33,3,5
37,108,37,26,51,7
38,120,45,33,51,4
39,97,83,32,3,2
40,65,54,32,51,1
41,63,54,41,63,3
42,99,68,54,63,1
43,66,63,42,63,3
44,78,68,43,63,2
45,91,69,43,51,7
46,72,56,44,63,2
47,90,59,38,51,3
48,95,78,20,3,4
49,71,65,20,3,1
