ID,X,Y,Z,ROTATIONS,COPIES
0,118,79,51,51,2
1,86,32,31,51,1
2,64,58,52,63,2
3,42,42,32,63,1
4,64,55,43,63,1
5,84,70,35,3,1
6,76,57,36,51,2
7,95,60,55,63,1
8,80,66,52,63,1
9,109,73,23,3,1
10,72,65,54,63,2
11,98,55,44,51,1
12,88,61,31,51,1
13,94,82,66,63,1
14,78,77,64,63,1
15,77,32,30,51,1
16,91,61,61,63,1
17,101,100,77,63,1
18,103,63,59,63,1
19,117,61,57,51,1
20,71,69,34,3,1
21,60,51,30,51,2
22,87,60,29,3,1
23,107,72,62,63,2
24,93,77,64,63,2
25,55,44,44,63,2
26,66,36,31,51,3
27,94,79,26,3,1
28,76,63,46,63,1
29,74,56,40,63,1
30,64,54,48,63,2
31,118,43,20,3,3
32,101,26,24,51,2
33,47,37,24,63,1
34,84,58,43,63,1
35,92,81,43,51,1
36,42,38,34,63,1
37,117,52,49,51,2
38,98,46,45,51,1
39,115,68,59,63,1
40,99,52,46,51,1
41,79,40,34,51,1
42,70,67,55,63,1
43,90,86,57,63,2
44,94,75,46,51,1
45,116,84,63,63,1
46,109,41,28,51,1
47,50,34,34,63,2
48,83,71,71,63,1
49,75,43,21,3,1
50,115,87,34,3,1
51,114,47,29,51,1
52,103,74,67,63,1
53,85,75,72,63,1
54,54,54,25,3,2
55,116,77,36,3,1
56,96,85,58,63,1
57,104,71,43,51,1
58,75,48,23,3,3
59,113,72,54,51,1
60,76,54,38,51,2
61,80,63,51,63,2
62,86,76,55,63,1
63,79,68,43,63,1
64,106,79,42,51,1
65,105,80,29,3,1
66,119,83,38,3,1
67,98,33,24,51,1
68,93,67,23,3,1
69,83,73,37,51,1
70,113,70,47,51,1
71,99,39,24,51,1
72,103,67,49,51,1
73,110,43,32,51,1
74,96,78,76,63,2
75,49,48,38,63,1
76,75,64,42,63,1
77,53,46,35,63,1
78,117,74,37,3,1
79,61,50,42,63,1
80,71,42,38,63,2
81,107,39,26,51,2
82,96,32,22,51,2
83,101,80,21,3,1
84,87,82,42,51,1
85,67,59,23,3,1
86,92,58,54,63,1
87,101,66,59,63,2
88,87,64,64,63,1
89,112,69,46,51,1
90,116,78,32,3,1
91,70,55,49,63,2
92,60,44,33,63,1
93,88,62,42,51,1
94,38,36,34,63,1
95,92,44,32,51,1
96,72,63,47,63,1
97,113,60,54,51,1
98,112,29,29,51,2
99,79,76,31,3,1
