ID,X,Y,Z,ROTATIONS,COPIES
0,40,36,21,63,4
1,76,45,31,51,1
2,63,54,51,63,1
3,114,77,69,63,1
4,95,57,53,63,1
5,92,36,20,51,2
6,90,84,47,63,2
7,84,69,24,3,2
8,57,35,35,63,1
9,78,76,50,63,3
10,81,67,37,51,1
11,73,51,43,63,1
12,64,54,30,51,1
13,85,73,51,63,2
14,83,58,23,3,2
15,114,71,27,3,1
16,67,56,50,63,2
17,79,51,46,63,2
18,89,57,36,51,1
19,109,72,46,51,5
20,93,54,35,51,2
21,114,77,33,3,1
22,77,45,25,51,3
23,97,64,59,63,3
24,100,92,30,3,1
25,58,48,38,63,1
26,88,85,54,63,2
27,75,49,43,63,2
28,71,53,42,63,3
29,73,67,42,63,1
30,92,53,48,63,1
31,94,86,39,3,2
32,97,58,33,51,2
33,58,42,41,63,2
34,80,77,52,63,1
35,108,52,46,51,2
36,77,60,43,63,2
37,111,62,33,51,3
38,78,63,35,51,1
39,93,84,44,51,5
40,115,78,38,3,1
41,88,85,39,3,2
42,84,47,38,51,5
43,61,44,32,63,1
44,50,44,33,63,1
45,98,63,47,51,1
46,66,57,51,63,2
47,111,57,26,3,1
48,91,75,37,3,1
49,98,61,21,3,1
50,66,60,48,63,4
51,88,68,64,63,2
52,93,86,42,3,1
53,82,68,53,63,1
54,114,79,40,51,4
55,105,33,32,51,1
56,103,81,44,51,1
57,102,62,32,51,2
58,100,97,80,63,1
59,97,68,40,51,1
60,63,56,37,63,1
61,111,94,53,51,3
62,64,46,31,51,2
63,94,63,63,63,1
64,67,60,39,63,3
65,52,51,35,63,1
66,112,66,43,51,1
67,45,39,30,63,1
68,76,74,68,63,1
69,76,72,42,63,2
